Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp1_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp1_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp1_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp2_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp2_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp2_03.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,,Rib_13C0,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,,Rib_13C1,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,,Rib_13C2,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,,Rib_13C3,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,,Rib_13C4,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,,Rib_13C5,
RibHyp3_01.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,,,
RibHyp3_02.CDF,huvec,"[1,2-13C]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,,,
