Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C0,65.2
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C1,33.1
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C0,66.6
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C1,32.5
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Glycine,CHEBI:15428,C2,NA,1,1,1,gly_13C0,92.2
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Glycine,CHEBI:15428,C2,NA,1,1,1,gly_13C1,7.4
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Serine,CHEBI:17822,C2-C3,NA,1,1,1,ser_13C0,69.3
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Serine,CHEBI:17822,C2-C3,NA,1,1,1,ser_13C1,30
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Serine,CHEBI:17822,C1-C3,NA,1,1,1,ser_13C0,68.2
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Serine,CHEBI:17822,C1-C3,NA,1,1,1,ser_13C1,30.8
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Threonine,CHEBI:16857,C2-C4,NA,1,1,1,thr_13C0,54
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Threonine,CHEBI:16857,C2-C4,NA,1,1,1,thr_13C1,38.7
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Threonine,CHEBI:16857,C1-C4,NA,1,1,1,thr_13C0,50
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Threonine,CHEBI:16857,C1-C4,NA,1,1,1,thr_13C1,39.8
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C0,50.2
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C1,39.9
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Arginine,CHEBI:16467,C1-C5,NA,1,1,1,arg_13C0,30.9
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Arginine,CHEBI:16467,C1-C5,NA,1,1,1,arg_13C1,41.5
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Arginine,CHEBI:16467,C1-C5,NA,1,1,1,arg_13C2,21.8
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phenylalanine,CHEBI:17295,C1-C9,NA,1,1,1,phe_13C0,37.1
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phenylalanine,CHEBI:17295,C1-C9,NA,1,1,1,phe_13C1,41.7
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phenylalanine,CHEBI:17295,C1-C9,NA,1,1,1,phe_13C2,16.6
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phenylalanine,CHEBI:17295,C1-C2,NA,1,1,1,phe_13C0,95.7
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Tyrosine,CHEBI:17895,C1-C9,NA,1,1,1,tyr_13C0,37.9
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Tyrosine,CHEBI:17895,C1-C9,NA,1,1,1,tyr_13C1,42.1
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Tyrosine,CHEBI:17895,C1-C9,NA,1,1,1,tyr_13C2,16.5
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Tyrosine,CHEBI:17895,C1-C2,NA,1,1,1,tyr_13C0,97.2
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Glutamate,CHEBI:29985,C1-C5,NA,1,1,1,glu_13C0,35.3
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Glutamate,CHEBI:29985,C1-C5,NA,1,1,1,glu_13C1,42.9
NA,Saccharomyces cerevisiae,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Glutamate,CHEBI:29985,C1-C5,NA,1,1,1,glu_13C2,18.4
