Metabolite/s,N carbons,Symmetry,Constant,large  unlabelled pool,Name of measured Metabolite
13dpg_c,3,no,,,
2pg_c,3,no,,,
3pg_c,3,no,,,
3php_c,3,no,,,
6pgc_c,6,no,,,
6pgl_c,6,no,,,
accoa_c,2,no,,,
accoa_m,2,no,,,
akg_c,5,no,,,
akg_m,5,no,,,
ala__L_c,3,no,,,
ala__L_m,3,no,,,
ala__L_e,3,no,,,
"asp__L_m,asp__L_c",4,no,,,N-acetylaspartate
asp__L_e,4,no,,,
C4_FA_c,4,no,,,
C6_FA_c,6,no,,,
C8_FA_c,8,no,,,
C10_FA_c,10,no,,,
C12_FA_c,12,no,,,
C14_FA_c,14,no,,,
"cit_m,cit_c",6,no,,,Citrate
co2_c,1,no,yes,,
co2_m,1,no,yes,,
"dhap_c,g3p_c",3,no,,,
e4p_c,4,no,,,
fdp_c,6,no,,,
fum_c,4,yes,,,
fum_m,4,yes,,,
"g6p_c,f6p_c",6,no,,,
glc__D_c,6,no,,,
glc__D_e,6,no,,,Glucose
gln__L_c,5,no,,,
gln__L_e,5,no,,,Glutamine
gln__L_m,5,no,,,
"glu__L_c,glu__L_m",5,no,,,Glutamate
glu__L_e,5,no,,,
gly_c,2,no,,,
gly_e,2,no,,,
hco3_m,1,no,yes,,
hdca_c,16,no,,,
icit_c,6,no,,,
icit_m,6,no,,,
"lac__L_c,lac__L_e",3,no,,,
lac__L_m,3,no,,,
"mal__L_c,mal__L_m",4,no,,,Malate
mlthf_c,1,no,yes,,
oaa_c,4,no,,,
oaa_m,4,no,,,
pep_c,3,no,,,
pep_m,3,no,,,
pser__L_c,3,no,,,
"pyr_c,pyr_m",3,no,,,
pyr_e,3,no,,,
"r5p_c,ru5p__D_c,xu5p__D_c",5,no,,yes,Adenosine-monophosphate
s7p_c,7,no,,,
ser__L_c,3,no,,,
ser__L_e,3,no,,,
succ_m,4,yes,,,
succoa_m,4,no,,,
,,,,,
,,,,,
Reaction,Substrates,Products,,,
FBA,"fdp_c(c1,c2,c3,c4,c5,c6)","dhap_c(c3,c2,c1)+g3p_c(c4,c5,c6)",,,
GND,"6pgc_c(c1,c2,c3,c4,c5,c6)","ru5p__D_c(c2,c3,c4,c5,c6)+co2_c(c1)",,,
TKT1,"r5p_c(rc1,rc2,rc3,rc4,rc5)+xu5p__D_c(xc1,xc2,xc3,xc4,xc5)","g3p_c(xc3,xc4,xc5)+s7p_c(xc1,xc2,rc1,rc2,rc3,rc4,rc5)",,,
TKT2,"e4p_c(ec1,ec2,ec3,ec4)+xu5p__D_c(xc1,xc2,xc3,xc4,xc5)","f6p_c(xc1,xc2,ec1,ec2,ec3,ec4)+g3p_c(xc3,xc4,xc5)",,,
TALA,"g3p_c(gc1,gc2,gc3)+s7p_c(sc1,sc2,sc3,sc4,sc5,sc6,sc7)","e4p_c(sc4,sc5,sc6,sc7)+f6p_c(sc1,sc2,sc3,gc1,gc2,gc3)",,,
PDHm,"pyr_m(c1,c2,c3)","accoa_m(c2,c3)+co2_m(c1)",,,
PCm,"hco3_m(a4)+pyr_m(a1,a2,a3)","oaa_m(a1,a2,a3,a4)",,,
CSm,"accoa_m(ac1,ac2)+oaa_m(co2,oc2,oc3,oc4)","cit_m(oc4,oc3,oc2,ac2,ac1,co2)",,,
ACITL,"cit_c(oc4,oc3,oc2,ac2,ac1,co2)","oaa_c(co2,oc2,oc3,oc4)+accoa_c(ac1,ac2)",,,
ICDHxm,"icit_m(oc4,oc3,oc2,ac2,ac1,co2)","akg_m(oc4,oc3,oc2,ac2,ac1)+co2_m(co2)",,,
ICDHym,"icit_m(oc4,oc3,oc2,ac2,ac1,co2)","akg_m(oc4,oc3,oc2,ac2,ac1)+co2_m(co2)",,,
ICDHyr,"icit_c(oc4,oc3,oc2,ac2,ac1,co2)","akg_c(oc4,oc3,oc2,ac2,ac1)+co2_c(co2)",,,
AKGDm,"akg_m(c1,c2,c3,c4,c5)","succoa_m(c2,c3,c4,c5)+co2_m(c1)",,,
ASPTAm,"akg_m(ak1,ak2,ak3,ak4,ak5)+asp__L_m(as1,as2,as3,as4)","glu__L_m(ak1,ak2,ak3,ak4,ak5)+oaa_m(as1,as2,as3,as4)",,,
ASPTA,"akg_c(ak1,ak2,ak3,ak4,ak5)+asp__L_c(as1,as2,as3,as4)","glu__L_c(ak1,ak2,ak3,ak4,ak5)+oaa_c(as1,as2,as3,as4)",,,
ALATA_Lm,"akg_m(ak1,ak2,ak3,ak4,ak5)+ala__L_m(ac1,ac2,ac3)","glu__L_m(ak1,ak2,ak3,ak4,ak5)+pyr_m(ac1,ac2,ac3)",,,
ALATA_L,"akg_c(ak1,ak2,ak3,ak4,ak5)+ala__L_c(ac1,ac2,ac3)","glu__L_c(ak1,ak2,ak3,ak4,ak5)+pyr_c(ac1,ac2,ac3)",,,
ME1m,"mal__L_m(c1,c2,c3,c4)","pyr_m(c1,c2,c3)+co2_m(c4)",,,
ME2,"mal__L_c(c1,c2,c3,c4)","pyr_c(c1,c2,c3)+co2_c(c4)",,,
ME2m,"mal__L_m(c1,c2,c3,c4)","pyr_m(c1,c2,c3)+co2_m(c4)",,,
PEPCKm,"oaa_m(a,b,c,d)","pep_m(a,b,c)+co2_m(d)",,,
PEPCK_re,"oaa_c(a,b,c,d)","pep_c(a,b,c)+co2_c(d)",,,
PSERT,"glu__L_c(a1,a2,a3,a4,a5)+3php_c(b1,b2,b3)","akg_c(a1,a2,a3,a4,a5)+pser__L_c(b1,b2,b3)",,,
GHMT2r,"ser__L_c(b1,b2,b3)","gly_c(b1,b2)+mlthf_c(b3)",,,
addedProcess_FASN1_c,"accoa_c(c1,c2)+accoa_c(c3,c4)","C4_FA_c(c1,c2,c3,c4)",,,
addedProcess_FASN2_c,"C4_FA_c(c1,c2,c3,c4)+accoa_c(c5,c6)","C6_FA_c(c1,c2,c3,c4,c5,c6)",,,
addedProcess_FASN3_c,"C6_FA_c(c1,c2,c3,c4,c5,c6)+accoa_c(c7,c8)","C8_FA_c(c1,c2,c3,c4,c5,c6,c7,c8)",,,
addedProcess_FASN4_c,"C8_FA_c(c1,c2,c3,c4,c5,c6,c7,c8)+accoa_c(c9,c10)","C10_FA_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10)",,,
addedProcess_FASN5_c,"C10_FA_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10)+accoa_c(c11,c12)","C12_FA_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12)",,,
addedProcess_FASN6_c,"C12_FA_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12)+accoa_c(c13,c14)","C14_FA_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14)",,,
addedProcess_FASN7_c,"C14_FA_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14)+accoa_c(c15,c16)","hdca_c(c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16)",,,
